	Brisk	Brush	Chirp	Climb	Exalt	Fjord	Flair	Fluke	Heft	Hush	Joust	Kite	Knack	Latch	Meld	Mirth	Nifty	Quark	Riff	Shred	Spire	Tweak	Verve	Vexed	Vial	Whisk	Yawn	Yodel	Zest	Zoom
Brisk	0.0	0.331077069232	0.468208092486	0.5337773549	0.427926590248	0.361403508772	0.601710010688	0.343716561645	0.392197612968	0.334879020272	0.45258517989	0.722354057902	0.411037842334	0.504026725526	0.573717948718	0.460189094369	0.25956284153	0.509922756982	0.526206446252	0.440884503358	0.468970841499	0.302411212733	0.314873135659	0.417879417879	0.396972947205	0.27146337116	0.478446740292	0.587058474325	0.40301737092	0.303721345639
Brush	0.331077069232	0.0	0.480793282115	0.57423035778	0.447498070873	0.403268945022	0.638618561595	0.434173003802	0.338555575337	0.468005466104	0.498392665794	0.710304755129	0.437036157454	0.547725511238	0.627595207023	0.452071076247	0.384186156951	0.583372921615	0.550453817405	0.470801402008	0.515104753991	0.334639126306	0.335946315102	0.482695161769	0.510719390186	0.378896740099	0.375741751721	0.627410264017	0.502492941671	0.428979470396
Chirp	0.468208092486	0.480793282115	0.0	0.52532060841	0.504706302871	0.399188737771	0.420046453457	0.402420845507	0.613460393091	0.483720930233	0.43896755691	0.764355846474	0.458824931474	0.633317376735	0.670655474192	0.365978766551	0.498123324397	0.39090529829	0.351750416766	0.410088242309	0.463783654992	0.482218383273	0.492311360114	0.471043851287	0.534516765286	0.436352800954	0.50592579358	0.672382993926	0.600747618473	0.388915432394
Climb	0.5337773549	0.57423035778	0.52532060841	0.0	0.662326853338	0.413536520031	0.567930583621	0.631203141735	0.650163447251	0.584409401964	0.689482470785	0.826128266033	0.660700481655	0.723174299875	0.714947718631	0.513838461996	0.600713436385	0.518972285001	0.515774463787	0.48283453323	0.664506925043	0.600879800262	0.605424373996	0.635174505024	0.651556721937	0.540291406482	0.549150124807	0.691009566819	0.674026833524	0.444066988498
Exalt	0.427926590248	0.447498070873	0.504706302871	0.662326853338	0.0	0.574910820452	0.631032231258	0.432222024128	0.524872373264	0.460477831927	0.44822247365	0.533716861396	0.303123886447	0.592795801527	0.632112976918	0.511710854833	0.484116145122	0.558301158301	0.636482316639	0.471951509389	0.459035858466	0.542836786796	0.535345134846	0.468408551069	0.456603324001	0.453195533381	0.472784472013	0.470860534125	0.548371589953	0.467976190476
Fjord	0.361403508772	0.403268945022	0.399188737771	0.413536520031	0.574910820452	0.0	0.537473997028	0.46861053258	0.508796956728	0.446322304213	0.530737582732	0.80663934913	0.522240723121	0.548787770214	0.646960964886	0.469047619048	0.435519353113	0.402010349135	0.393464052288	0.4623348804	0.548805136131	0.396587598835	0.44289793005	0.508502794625	0.498956158664	0.370048768883	0.437147102526	0.622296173045	0.497713598075	0.37000834426
Flair	0.601710010688	0.638618561595	0.420046453457	0.567930583621	0.631032231258	0.537473997028	0.0	0.518060836502	0.725832294819	0.601212049195	0.456601976426	0.7745760702	0.561360802707	0.719668514875	0.651560090165	0.439591133298	0.586133206696	0.446555819477	0.323248502106	0.493376106458	0.578491305122	0.577279202279	0.594512738286	0.562718907688	0.6827060505	0.536963363221	0.658082126751	0.692672797389	0.576259986784	0.522642070812
Fluke	0.343716561645	0.434173003802	0.402420845507	0.631203141735	0.432222024128	0.46861053258	0.518060836502	0.0	0.463846473769	0.339837011481	0.317081892955	0.761723851359	0.343161148428	0.467199904495	0.468107851289	0.434045338252	0.265541423987	0.411414982164	0.519273029637	0.558436923809	0.329134232575	0.35013073449	0.335394494322	0.248142644874	0.339613641784	0.377444860591	0.494890684411	0.5544995545	0.442232513382	0.404944891272
Heft	0.392197612968	0.338555575337	0.613460393091	0.650163447251	0.524872373264	0.508796956728	0.725832294819	0.463846473769	0.0	0.413784907903	0.516104066202	0.749777646012	0.526897043107	0.511209158121	0.564216645904	0.564602401046	0.351142772336	0.653661143773	0.638111058377	0.578065589354	0.55235042735	0.328663857067	0.29872906521	0.402279743529	0.44815675064	0.419596199525	0.468518188832	0.600332265338	0.469542232368	0.514520352297
Hush	0.334879020272	0.468005466104	0.483720930233	0.584409401964	0.460477831927	0.446322304213	0.601212049195	0.339837011481	0.413784907903	0.0	0.411456160219	0.787236568715	0.418024016169	0.494746895893	0.592801567975	0.538617160538	0.342763744428	0.500921576788	0.626633404609	0.569831073043	0.439862134538	0.343673857491	0.290640979902	0.324774132192	0.327052650408	0.305469678954	0.524330105163	0.58571937745	0.439672801636	0.42683508103
