Taxon	Brisk	Brush	Chirp	Climb	Exalt	Fjord	Flair	Fluke	Heft	Hush	Joust	Kite	Knack	Latch	Meld	Mirth	Nifty	Quark	Riff	Shred	Spire	Tweak	Verve	Vexed	Vial	Whisk	Yawn	Yodel	Zest	Zoom	taxonomy
d__Archaea|p__Candidatus_Micrarchaeota	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Archaea; p__Candidatus_Micrarchaeota
d__Archaea|p__Crenarchaeota	203	115	165	222	107	47	32	137	123	171	166	114	173	87	101	199	153	46	22	164	161	172	142	166	35	158	92	104	112	156	d__Archaea; p__Crenarchaeota
d__Archaea|p__Euryarchaeota	7	17	7	9	7	12	6	7	14	9	32	5	12	4	7	13	4	25	4	8	4	6	20	11	18	8	9	3	7	4	d__Archaea; p__Euryarchaeota
d__Archaea|p__Thaumarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	d__Archaea; p__Thaumarchaeota
d__Bacteria|p__Acidobacteria	2	5	5	1	2	0	1	3	1	1	2	0	3	2	0	8	2	4	1	2	4	1	2	3	2	2	0	3	2	7	d__Bacteria; p__Acidobacteria
d__Bacteria|p__Actinobacteria	2110	2102	5654	3324	9316	961	8460	7583	1941	3747	8041	32989	11121	2521	25252	6265	4681	9236	7165	2774	12831	1962	3009	11356	3214	2595	7413	25091	964	2449	d__Bacteria; p__Actinobacteria
d__Bacteria|p__Aquificae	0	0	0	0	1	0	0	2	3	2	2	0	0	0	0	0	0	1	0	2	0	1	1	2	0	1	0	1	1	0	d__Bacteria; p__Aquificae
d__Bacteria|p__Armatimonadetes	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	d__Bacteria; p__Armatimonadetes
d__Bacteria|p__Bacteroidetes	8240	7258	4744	85	4320	5852	6529	3535	3540	1870	2730	4584	6205	1370	1560	5948	5923	1496	6863	5193	6019	3899	3174	1064	979	6377	5570	1426	7919	4476	d__Bacteria; p__Bacteroidetes
d__Bacteria|p__Caldiserica	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Caldiserica
d__Bacteria|p__Calditrichaeota	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	d__Bacteria; p__Calditrichaeota
d__Bacteria|p__Candidatus_Cloacimonetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	d__Bacteria; p__Candidatus_Cloacimonetes
d__Bacteria|p__Candidatus_Gracilibacteria	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Candidatus_Gracilibacteria
d__Bacteria|p__Candidatus_Saccharibacteria	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Candidatus_Saccharibacteria
d__Bacteria|p__Chlamydiae	1	0	3	0	0	2	0	1	0	2	1	0	0	1	0	1	1	0	0	0	0	1	0	1	0	1	0	0	1	0	d__Bacteria; p__Chlamydiae
d__Bacteria|p__Chlorobi	2	3	6	2	1	0	2	3	2	2	7	0	2	1	1	4	3	5	0	3	1	3	3	1	1	4	2	2	0	4	d__Bacteria; p__Chlorobi
d__Bacteria|p__Chloroflexi	4	2	12	4	1	2	1	2	2	8	6	1	3	2	0	3	2	5	1	4	5	4	7	4	4	4	0	5	2	4	d__Bacteria; p__Chloroflexi
d__Bacteria|p__Chrysiogenetes	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	d__Bacteria; p__Chrysiogenetes
d__Bacteria|p__Coprothermobacterota	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Coprothermobacterota
d__Bacteria|p__Cyanobacteria	14	18	10	12	5	12	5	14	11	15	12	8	3	9	5	21	14	10	7	17	16	13	15	8	6	14	11	8	2	13	d__Bacteria; p__Cyanobacteria
d__Bacteria|p__Deferribacteres	2	0	1	3	0	0	0	0	0	1	0	0	2	0	1	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	d__Bacteria; p__Deferribacteres
d__Bacteria|p__Deinococcus-Thermus	5	3	10	2	3	1	7	8	4	11	14	7	7	1	5	12	4	10	1	3	9	2	6	5	2	6	5	3	5	6	d__Bacteria; p__Deinococcus-Thermus
d__Bacteria|p__Dictyoglomi	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	d__Bacteria; p__Dictyoglomi
d__Bacteria|p__Elusimicrobia	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	1	0	0	0	0	0	0	d__Bacteria; p__Elusimicrobia
