pathway count
COA.PWY..coenzyme.A.biosynthesis.I..prokaryotic..g__Bacteroides.s__Bacteroides_uniformis 2
COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis 5
GALACTITOLCAT.PWY..galactitol.degradation 7
GLUTORN.PWY..L.ornithine.biosynthesis.I 6
GLUTORN.PWY..L.ornithine.biosynthesis.I.g__Bifidobacterium.s__Bifidobacterium_longum 6
GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose. 3
GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose..g__Bifidobacterium.s__Bifidobacterium_longum 15
GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose..g__Blautia.s__Blautia_obeum 8
GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate. 9
GLYOXYLATE.BYPASS..glyoxylate.cycle 21
GLYOXYLATE.BYPASS..glyoxylate.cycle.unclassified 2
HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic. 15
HEME.BIOSYNTHESIS.II..heme.b.biosynthesis.I..aerobic. 6
HEMESYN2.PWY..heme.b.biosynthesis.II..oxygen.independent. 6
HISTSYN.PWY..L.histidine.biosynthesis 7
HISTSYN.PWY..L.histidine.biosynthesis.g__Bifidobacterium.s__Bifidobacterium_longum 2
HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I 1
HSERMETANA.PWY..L.methionine.biosynthesis.III.g__Bifidobacterium.s__Bifidobacterium_longum 2
HSERMETANA.PWY..L.methionine.biosynthesis.III.unclassified 4
ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine. 6
ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine..g__Bifidobacterium.s__Bifidobacterium_adolescentis 33
ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine..g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum 5
ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine..g__Blautia.s__Blautia_obeum 5
ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine..unclassified 17
LIPASYN.PWY..phospholipases 3
LIPASYN.PWY..phospholipases.unclassified 4
NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli. 2
NONMEVIPP.PWY..methylerythritol.phosphate.pathway.I 1
NONMEVIPP.PWY..methylerythritol.phosphate.pathway.I.g__Bifidobacterium.s__Bifidobacterium_longum 3
NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..I 5
NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..I.g__Collinsella.s__Collinsella_aerofaciens 9
OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli..g__Collinsella.s__Collinsella_aerofaciens 4
ORNDEG.PWY..superpathway.of.ornithine.degradation 20
ORNDEG.PWY..superpathway.of.ornithine.degradation.unclassified 15
P124.PWY..Bifidobacterium.shunt 6
P124.PWY..Bifidobacterium.shunt.g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum 9
P161.PWY..acetylene.degradation..anaerobic. 2
P41.PWY..pyruvate.fermentation.to.acetate.and..S..lactate.I.g__Bifidobacterium.s__Bifidobacterium_adolescentis 34
P41.PWY..pyruvate.fermentation.to.acetate.and..S..lactate.I.g__Bifidobacterium.s__Bifidobacterium_longum 2
P41.PWY..pyruvate.fermentation.to.acetate.and..S..lactate.I.g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum 6
P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate 6
P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate.g__Citrobacter.s__Citrobacter_freundii 3
PANTO.PWY..phosphopantothenate.biosynthesis.I 8
PANTO.PWY..phosphopantothenate.biosynthesis.I.unclassified 8
PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing. 11
PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing..g__Bifidobacterium.s__Bifidobacterium_longum 5
PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing..g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum 9
PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria. 8
POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I 25
PPGPPMET.PWY..ppGpp.metabolism 8
PWY.1042..glycolysis.IV 13
PWY.1269..CMP.3.deoxy.D.manno.octulosonate.biosynthesis 9
PWY.1269..CMP.3.deoxy.D.manno.octulosonate.biosynthesis.unclassified 14
PWY.2942..L.lysine.biosynthesis.III 1
PWY.4041...gamma..glutamyl.cycle 14
PWY.4041...gamma..glutamyl.cycle.g__Bifidobacterium.s__Bifidobacterium_longum 13
PWY.4041...gamma..glutamyl.cycle.unclassified 6
PWY.5097..L.lysine.biosynthesis.VI 14
PWY.5097..L.lysine.biosynthesis.VI.g__Bifidobacterium.s__Bifidobacterium_adolescentis 8
PWY.5097..L.lysine.biosynthesis.VI.g__Bifidobacterium.s__Bifidobacterium_longum 29
PWY.5097..L.lysine.biosynthesis.VI.g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum 3
PWY.5097..L.lysine.biosynthesis.VI.unclassified 1
PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II.g__Bifidobacterium.s__Bifidobacterium_adolescentis 20
PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II.g__Bifidobacterium.s__Bifidobacterium_longum 12
PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II.g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum 12
PWY.5103..L.isoleucine.biosynthesis.III 22
PWY.5103..L.isoleucine.biosynthesis.III.g__Bifidobacterium.s__Bifidobacterium_adolescentis 14
PWY.5103..L.isoleucine.biosynthesis.III.g__Bifidobacterium.s__Bifidobacterium_longum 3
PWY.5103..L.isoleucine.biosynthesis.III.g__Blautia.s__Blautia_obeum 12
PWY.5103..L.isoleucine.biosynthesis.III.unclassified 9
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome. 17
PWY.5367..petroselinate.biosynthesis 5
PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase. 3
PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase..g__Bifidobacterium.s__Bifidobacterium_adolescentis 5
PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase..g__Bifidobacterium.s__Bifidobacterium_longum 17
PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase..g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum 17
PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase..unclassified 19
PWY.5484..glycolysis.II..from.fructose.6.phosphate. 8
PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation 6
PWY.5656..mannosylglycerate.biosynthesis.I 6
PWY.5659..GDP.mannose.biosynthesis 6
PWY.5659..GDP.mannose.biosynthesis.g__Lachnospiraceae_unclassified.s__Eubacterium_rectale 15
PWY.5659..GDP.mannose.biosynthesis.unclassified 18
PWY.5667..CDP.diacylglycerol.biosynthesis.I 9
PWY.5667..CDP.diacylglycerol.biosynthesis.I.g__Escherichia.s__Escherichia_coli 6
PWY.5667..CDP.diacylglycerol.biosynthesis.I.g__Faecalibacterium.s__Faecalibacterium_prausnitzii 10
PWY.5667..CDP.diacylglycerol.biosynthesis.I.unclassified 8
PWY.5676..acetyl.CoA.fermentation.to.butanoate.II 3
PWY.5686..UMP.biosynthesis.I.g__Bifidobacterium.s__Bifidobacterium_adolescentis 5
PWY.5686..UMP.biosynthesis.I.g__Collinsella.s__Collinsella_aerofaciens 13
PWY.5686..UMP.biosynthesis.I.unclassified 5
PWY.5695..inosine.5..phosphate.degradation.g__Citrobacter.s__Citrobacter_freundii 12
PWY.5695..inosine.5..phosphate.degradation.g__Escherichia.s__Escherichia_coli 11
PWY.5695..inosine.5..phosphate.degradation.unclassified 12
PWY.5913..partial.TCA.cycle..obligate.autotrophs. 6
PWY.5941..glycogen.degradation.II.g__Bifidobacterium.s__Bifidobacterium_longum 11
PWY.5941..glycogen.degradation.II.g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum 1
PWY.5941..glycogen.degradation.II.g__Blautia.s__Blautia_obeum 22
PWY.5941..glycogen.degradation.II.g__Blautia.s__Blautia_wexlerae 9
PWY.5941..glycogen.degradation.II.unclassified 21
PWY.5971..palmitate.biosynthesis..type.II.fatty.acid.synthase. 9
PWY.5973..cis.vaccenate.biosynthesis 6
PWY.5989..stearate.biosynthesis.II..bacteria.and.plants. 11
PWY.5989..stearate.biosynthesis.II..bacteria.and.plants..unclassified 13
PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I 6
PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I.g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum 2
PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I.g__Collinsella.s__Collinsella_aerofaciens 12
PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II 1
PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II.g__Bifidobacterium.s__Bifidobacterium_adolescentis 3
PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II.g__Bifidobacterium.s__Bifidobacterium_longum 4
PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II.g__Collinsella.s__Collinsella_aerofaciens 6
PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II.g__Escherichia.s__Escherichia_coli 18
PWY.6123..inosine.5..phosphate.biosynthesis.I 12
PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate.g__Bifidobacterium.s__Bifidobacterium_longum 10
PWY.621..sucrose.degradation.III..sucrose.invertase..unclassified 12
PWY.622..starch.biosynthesis 8
PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis.g__Bifidobacterium.s__Bifidobacterium_longum 18
PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis.g__Collinsella.s__Collinsella_aerofaciens 7
PWY.6282..palmitoleate.biosynthesis.I..from..5Z..dodec.5.enoate. 5
PWY.6282..palmitoleate.biosynthesis.I..from..5Z..dodec.5.enoate..g__Bifidobacterium.s__Bifidobacterium_longum 3
PWY.6292..superpathway.of.L.cysteine.biosynthesis..mammalian. 8
PWY.6305..superpathway.of.putrescine.biosynthesis.unclassified 6
PWY.6317..D.galactose.degradation.I..Leloir.pathway. 3
PWY.6317..D.galactose.degradation.I..Leloir.pathway..g__Blautia.s__Blautia_wexlerae 6
PWY.6317..D.galactose.degradation.I..Leloir.pathway..unclassified 5
PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria..g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum 7
PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing. 3
PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing..g__Bifidobacterium.s__Bifidobacterium_longum 6
PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing..g__Bifidobacterium.s__Bifidobacterium_longum 5
PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing..g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum 3
PWY.6507..4.deoxy.L.threo.hex.4.enopyranuronate.degradation 12
PWY.6519..8.amino.7.oxononanoate.biosynthesis.I.unclassified 5
PWY.6609..adenine.and.adenosine.salvage.III.g__Gemmiger.s__Gemmiger_formicilis 1
PWY.6609..adenine.and.adenosine.salvage.III.unclassified 5
PWY.6629..superpathway.of.L.tryptophan.biosynthesis 5
PWY.6700..queuosine.biosynthesis.I..de.novo..g__Collinsella.s__Collinsella_aerofaciens 12
PWY.6731..starch.degradation.III 13
PWY.6731..starch.degradation.III.g__Blautia.s__Blautia_obeum 12
PWY.6731..starch.degradation.III.g__Blautia.s__Blautia_wexlerae 2
PWY.6803..phosphatidylcholine.acyl.editing.g__Citrobacter.s__Citrobacter_freundii 6
PWY.6803..phosphatidylcholine.acyl.editing.g__Escherichia.s__Escherichia_coli 6
PWY.6823..molybdopterin.biosynthesis 6
PWY.6892..thiazole.component.of.thiamine.diphosphate.biosynthesis.I.g__Blautia.s__Blautia_wexlerae 5
PWY.6897..thiamine.diphosphate.salvage.II 6
PWY.6902..chitin.degradation.II..Vibrio..g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum 6
PWY.6961..L.ascorbate.degradation.II..bacterial..aerobic..unclassified 12
PWY.7013...S..propane.1.2.diol.degradation 6
PWY.7013...S..propane.1.2.diol.degradation.unclassified 6
PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Bifidobacterium.s__Bifidobacterium_longum 6
PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Blautia.s__Blautia_obeum 11
PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..unclassified 5
PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation 5
PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation.g__Collinsella.s__Collinsella_aerofaciens 6
PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis.g__Bifidobacterium.s__Bifidobacterium_adolescentis 6
PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis.g__Collinsella.s__Collinsella_aerofaciens 7
PWY.7222..guanosine.deoxyribonucleotides.de.novo.biosynthesis.II.g__Escherichia.s__Escherichia_coli 1
PWY.7237..myo...chiro..and.scyllo.inositol.degradation 6
PWY.7237..myo...chiro..and.scyllo.inositol.degradation.g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum 1
PWY.7237..myo...chiro..and.scyllo.inositol.degradation.g__Blautia.s__Blautia_obeum 9
PWY.7238..sucrose.biosynthesis.II.g__Bacteroides.s__Bacteroides_uniformis 5
PWY.7238..sucrose.biosynthesis.II.unclassified 6
PWY.7242..D.fructuronate.degradation.unclassified 6
PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II.g__Bifidobacterium.s__Bifidobacterium_adolescentis 6
PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II.g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum 5
PWY.7282..4.amino.2.methyl.5.diphosphomethylpyrimidine.biosynthesis.II.unclassified 4
PWY.7357..thiamine.phosphate.formation.from.pyrithiamine.and.oxythiamine..yeast..g__Bifidobacterium.s__Bifidobacterium_adolescentis 7
PWY.7357..thiamine.phosphate.formation.from.pyrithiamine.and.oxythiamine..yeast..unclassified 5
PWY.7663..gondoate.biosynthesis..anaerobic. 7
PWY.7664..oleate.biosynthesis.IV..anaerobic. 2
PWY.7664..oleate.biosynthesis.IV..anaerobic..g__Bifidobacterium.s__Bifidobacterium_longum 6
PWY.7790..UMP.biosynthesis.II.g__Collinsella.s__Collinsella_aerofaciens 5
PWY.7953..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.III..meso.diaminopimelate.containing. 5
PWY.7977..L.methionine.biosynthesis.IV 6
PWY.8131..5..deoxyadenosine.degradation.II 6
PWY0.1296..purine.ribonucleosides.degradation 5
PWY0.1415..superpathway.of.heme.b.biosynthesis.from.uroporphyrinogen.III 4
PWY0.1479..tRNA.processing 6
PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing..g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum 5
PWY0.862...5Z..dodecenoate.biosynthesis.I.g__Bifidobacterium.s__Bifidobacterium_longum 6
PWY66.389..phytol.degradation 6
PWY66.429..fatty.acid.biosynthesis.initiation..mitochondria..g__Blautia.s__Blautia_obeum 4
SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I.unclassified 5
THRESYN.PWY..superpathway.of.L.threonine.biosynthesis 6
THRESYN.PWY..superpathway.of.L.threonine.biosynthesis.g__Bifidobacterium.s__Bifidobacterium_adolescentis 6
VALSYN.PWY..L.valine.biosynthesis.g__Faecalibacterium.s__Faecalibacterium_prausnitzii 5
