category,pathway,p_value,is_significant
num_types_fruit_Cat,UNINTEGRATED.g__Bacteroides.s__Bacteroides_uniformis,NaN,FALSE
num_types_fruit_Cat,UNINTEGRATED.g__Bifidobacterium.s__Bifidobacterium_adolescentis,0.18144920772142,FALSE
num_types_fruit_Cat,UNINTEGRATED.g__Bifidobacterium.s__Bifidobacterium_bifidum,1,FALSE
num_types_fruit_Cat,UNINTEGRATED.g__Bifidobacterium.s__Bifidobacterium_longum,0.0590582290905367,FALSE
num_types_fruit_Cat,UNINTEGRATED.g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum,0.371093369522698,FALSE
num_types_fruit_Cat,UNINTEGRATED.g__Blautia.s__Blautia_obeum,0.100348246462291,FALSE
num_types_fruit_Cat,UNINTEGRATED.g__Blautia.s__Blautia_sp_CAG_52,NaN,FALSE
num_types_fruit_Cat,UNINTEGRATED.g__Blautia.s__Blautia_wexlerae,0.18144920772142,FALSE
num_types_fruit_Cat,UNINTEGRATED.g__Blautia.s__Ruminococcus_torques,1,FALSE
num_types_fruit_Cat,UNINTEGRATED.g__Citrobacter.s__Citrobacter_freundii,NaN,FALSE
num_types_fruit_Cat,UNINTEGRATED.g__Collinsella.s__Collinsella_aerofaciens,0.371093369522698,FALSE
num_types_fruit_Cat,UNINTEGRATED.g__Coprococcus.s__Coprococcus_comes,NaN,FALSE
num_types_fruit_Cat,UNINTEGRATED.g__Dorea.s__Dorea_longicatena,NaN,FALSE
num_types_fruit_Cat,UNINTEGRATED.g__Escherichia.s__Escherichia_coli,0.18144920772142,FALSE
num_types_fruit_Cat,UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii,0.100348246462291,FALSE
num_types_fruit_Cat,UNINTEGRATED.g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans,NaN,FALSE
num_types_fruit_Cat,UNINTEGRATED.g__Gemmiger.s__Gemmiger_formicilis,NaN,FALSE
num_types_fruit_Cat,UNINTEGRATED.g__Klebsiella.s__Klebsiella_oxytoca,1,FALSE
num_types_fruit_Cat,UNINTEGRATED.g__Lachnospiraceae_unclassified.s__Eubacterium_rectale,1,FALSE
num_types_fruit_Cat,ANAEROFRUCAT.PWY..homolactic.fermentation,1,FALSE
num_types_fruit_Cat,ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.,0.371093369522698,FALSE
num_types_fruit_Cat,ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II,1,FALSE
num_types_fruit_Cat,ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine.,0.100348246462291,FALSE
num_types_fruit_Cat,ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine..g__Bifidobacterium.s__Bifidobacterium_longum,1,FALSE
num_types_fruit_Cat,ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine..g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum,1,FALSE
num_types_fruit_Cat,ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle.,0.100348246462291,FALSE
num_types_fruit_Cat,ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle..g__Bifidobacterium.s__Bifidobacterium_longum,1,FALSE
