category,pathway,p_value
num_types_fruit_Cat,ARO.PWY..chorismate.biosynthesis.I,0.0360316862182336
num_types_fruit_Cat,ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis,0.0360316862182336
num_types_fruit_Cat,DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis,0.00385729282994253
num_types_fruit_Cat,GLUTORN.PWY..L.ornithine.biosynthesis.I,0.0360316862182336
num_types_fruit_Cat,GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.,0.00252617426850217
num_types_fruit_Cat,ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine.,0.00915168885265007
num_types_fruit_Cat,NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..I,0.0224942712224497
num_types_fruit_Cat,PWY.1042..glycolysis.IV,0.0360316862182336
num_types_fruit_Cat,PWY.5103..L.isoleucine.biosynthesis.III,0.00592153702414871
num_types_fruit_Cat,PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase.,0.0224942712224497
num_types_fruit_Cat,PWY.5686..UMP.biosynthesis.I,0.0224942712224497
num_types_fruit_Cat,PWY.5941..glycogen.degradation.II,0.0142661867014469
num_types_fruit_Cat,PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II,0.0224942712224497
num_types_fruit_Cat,PWY.6151..S.adenosyl.L.methionine.salvage.I,0.0142661867014469
num_types_fruit_Cat,PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate,0.0360316862182336
num_types_fruit_Cat,PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis,0.0224942712224497
num_types_fruit_Cat,PWY.6609..adenine.and.adenosine.salvage.III,0.0224942712224497
num_types_fruit_Cat,PWY.7111..pyruvate.fermentation.to.isobutanol..engineered.,0.0224942712224497
num_types_fruit_Cat,PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis,0.00915168885265007
num_types_fruit_Cat,PWY.7237..myo...chiro..and.scyllo.inositol.degradation,0.00592153702414871
num_types_fruit_Cat,PWY.7238..sucrose.biosynthesis.II,0.00915168885265007
num_types_fruit_Cat,PWY.7790..UMP.biosynthesis.II,0.0360316862182336
num_types_fruit_Cat,PWY.8178..pentose.phosphate.pathway..non.oxidative.branch..II,0.0360316862182336
num_types_fruit_Cat,PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing.,0.0142661867014469
