	chao1	observed_otus	shannon
Brisk	643.4	237.0	4.43572864515
Brush	680.260869565	245.0	4.2888266083
Chirp	795.625	360.0	4.43310396932
Climb	559.7	269.0	4.10378180682
Exalt	598.076923077	245.0	4.43767777057
Fjord	512.7	246.0	3.61271195809
Flair	450.5	181.0	3.33580484003
Fluke	732.5	305.0	4.52765701413
Heft	611.136363636	230.0	3.78143089383
Hush	961.0	303.0	4.0222742405
Joust	742.516129032	290.0	4.27305431352
Kite	369.083333333	144.0	2.14956447067
Knack	534.454545455	248.0	4.16194159202
Latch	696.8	296.0	4.18383302636
Meld	369.461538462	156.0	3.64602223822
Mirth	645.428571429	282.0	4.46628312386
Nifty	639.285714286	240.0	4.44209584408
Quark	647.0	236.0	3.31250340404
Riff	350.571428571	147.0	3.54199032157
Shred	907.275862069	314.0	4.56398489858
Spire	476.454545455	234.0	3.93123801781
Tweak	671.5	227.0	4.28281806167
Verve	730.24	259.0	3.99311267643
Vexed	602.565217391	238.0	3.88876721822
Vial	834.8125	244.0	3.85800491964
Whisk	556.785714286	248.0	4.33036812644
Yawn	553.565217391	222.0	4.35396027585
Yodel	346.0	185.0	3.54099022672
Zest	570.222222222	250.0	4.19839936603
Zoom	1164.9	393.0	4.70915847359
